Bx,By,Bmagnetic,CoreLoss
4.71032e-07,-2.76003e-10,4.71032e-07,7.84432e-13
4.71076e-07,-2.90468e-10,4.71076e-07,7.84579e-13
4.71119e-07,-2.99205e-10,4.71119e-07,7.84722e-13
4.7116e-07,-3.04048e-10,4.7116e-07,7.8486e-13
4.712e-07,-3.06182e-10,4.712e-07,7.84992e-13
4.71239e-07,-3.06182e-10,4.71239e-07,7.85123e-13
4.71278e-07,-3.04048e-10,4.71278e-07,7.85253e-13
4.71318e-07,-2.99205e-10,4.71318e-07,7.85385e-13
4.71359e-07,-2.90468e-10,4.71359e-07,7.85523e-13
4.71402e-07,-2.76003e-10,4.71402e-07,7.85666e-13
4.71446e-07,-2.5337e-10,4.71446e-07,7.85814e-13
4.71491e-07,-2.19776e-10,4.71491e-07,7.85962e-13
4.71533e-07,-1.72774e-10,4.71533e-07,7.86103e-13
4.71569e-07,-1.11574e-10,4.71569e-07,7.86223e-13
4.71594e-07,-3.87559e-11,4.71594e-07,7.86305e-13
4.71603e-07,-2.98104e-11,4.71603e-07,7.86335e-13
4.07966e-07,-5.23958e-11,4.07966e-07,5.8844e-13
4.07979e-07,-1.47994e-10,4.07979e-07,5.88479e-13
4.08016e-07,-2.22996e-10,4.08016e-07,5.88585e-13
4.08066e-07,-2.7543e-10,4.08066e-07,5.8873e-13
4.08122e-07,-3.08857e-10,4.08122e-07,5.8889e-13
4.08177e-07,-3.28491e-10,4.08177e-07,5.8905e-13
4.0823e-07,-3.39104e-10,4.0823e-07,5.89202e-13
4.08278e-07,-3.4432e-10,4.08278e-07,5.89342e-13
4.08323e-07,-3.4659e-10,4.08323e-07,5.89473e-13
4.08366e-07,-3.47384e-10,4.08366e-07,5.89595e-13
4.08407e-07,-3.47384e-10,4.08407e-07,5.89714e-13
4.08448e-07,-3.4659e-10,4.08448e-07,5.89833e-13
4.08491e-07,-3.4432e-10,4.08491e-07,5.89956e-13
4.08536e-07,-3.39104e-10,4.08536e-07,5.90087e-13
4.08585e-07,-3.28491e-10,4.08585e-07,5.90227e-13
4.08637e-07,-3.08857e-10,4.08637e-07,5.90379e-13
4.08693e-07,-2.7543e-10,4.08693e-07,5.90539e-13
4.08748e-07,-2.22996e-10,4.08748e-07,5.907e-13
4.08798e-07,-1.47994e-10,4.08798e-07,5.90845e-13
4.08835e-07,-5.23958e-11,4.08835e-07,5.9095e-13
4.08848e-07,-3.87559e-11,4.08848e-07,5.90989e-13
3.45029e-07,-7.5229e-11,3.45029e-07,4.20888e-13
3.45052e-07,-2.05011e-10,3.45052e-07,4.20944e-13
3.45109e-07,-2.95785e-10,3.45109e-07,4.21083e-13
